Survived,Pclass,Age,SibSp,Parch,Fare,is_alone,fare_per_person,Sex_male,Embarked_Q,Embarked_S
0,3,22.0,1,0,7.25,0,3.625,True,False,True
1,1,38.0,1,0,65.6563,0,32.82815,False,False,False
1,3,26.0,0,0,7.925,1,7.925,False,False,True
1,1,35.0,1,0,53.1,0,26.55,False,False,True
0,3,35.0,0,0,8.05,1,8.05,True,False,True
0,3,28.0,0,0,8.4583,1,8.4583,True,True,False
0,1,54.0,0,0,51.8625,1,51.8625,True,False,True
0,3,2.5,3,1,21.075,0,4.215,True,False,True
1,3,27.0,0,2,11.1333,0,3.7111,False,False,True
1,2,14.0,1,0,30.0708,0,15.0354,False,False,False
1,3,4.0,1,1,16.7,0,5.566666666666666,False,False,True
1,1,54.5,0,0,26.55,1,26.55,False,False,True
0,3,20.0,0,0,8.05,1,8.05,True,False,True
0,3,39.0,1,5,31.275,0,4.4678571428571425,True,False,True
0,3,14.0,0,0,7.8542,1,7.8542,False,False,True
1,2,54.5,0,0,16.0,1,16.0,False,False,True
0,3,2.5,4,1,29.125,0,4.854166666666667,True,True,False
1,2,28.0,0,0,13.0,1,13.0,True,False,True
0,3,31.0,1,0,18.0,0,9.0,False,False,True
1,3,28.0,0,0,7.225,1,7.225,False,False,False
0,2,35.0,0,0,26.0,1,26.0,True,False,True
1,2,34.0,0,0,13.0,1,13.0,True,False,True
1,3,15.0,0,0,8.0292,1,8.0292,False,True,False
1,1,28.0,0,0,35.5,1,35.5,True,False,True
0,3,8.0,3,1,21.075,0,4.215,False,False,True
1,3,38.0,1,5,31.3875,0,4.483928571428572,False,False,True
0,3,28.0,0,0,7.225,1,7.225,True,False,False
0,1,19.0,3,2,65.6563,0,10.942716666666668,True,False,True
1,3,28.0,0,0,7.8792,1,7.8792,False,True,False
0,3,28.0,0,0,7.8958,1,7.8958,True,False,True
0,1,40.0,0,0,27.7208,1,27.7208,True,False,False
1,1,28.0,1,0,65.6563,0,32.82815,False,False,False
1,3,28.0,0,0,7.75,1,7.75,False,True,False
0,2,54.5,0,0,10.5,1,10.5,True,False,True
0,1,28.0,1,0,65.6563,0,32.82815,True,False,False
0,1,42.0,1,0,52.0,0,26.0,True,False,True
1,3,28.0,0,0,7.2292,1,7.2292,True,False,False
0,3,21.0,0,0,8.05,1,8.05,True,False,True
0,3,18.0,2,0,18.0,0,6.0,False,False,True
1,3,14.0,1,0,11.2417,0,5.62085,False,False,False
0,3,40.0,1,0,9.475,0,4.7375,False,False,True
0,2,27.0,1,0,21.0,0,10.5,False,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,False
1,2,3.0,1,2,41.5792,0,10.3948,False,False,False
1,3,19.0,0,0,7.8792,1,7.8792,False,True,False
0,3,28.0,0,0,8.05,1,8.05,True,False,True
0,3,28.0,1,0,15.5,0,7.75,True,True,False
1,3,28.0,0,0,7.75,1,7.75,False,True,False
0,3,28.0,2,0,21.6792,0,7.226400000000001,True,False,False
0,3,18.0,1,0,17.8,0,8.9,False,False,True
0,3,7.0,4,1,39.6875,0,6.614583333333333,True,False,True
0,3,21.0,0,0,7.8,1,7.8,True,False,True
1,1,49.0,1,0,65.6563,0,32.82815,False,False,False
1,2,29.0,1,0,26.0,0,13.0,False,False,True
0,1,54.5,0,1,61.9792,0,30.9896,True,False,False
1,1,28.0,0,0,35.5,1,35.5,True,False,True
1,2,21.0,0,0,10.5,1,10.5,False,False,True
0,3,28.5,0,0,7.2292,1,7.2292,True,False,False
1,2,5.0,1,2,27.75,0,6.9375,False,False,True
0,3,11.0,5,2,46.9,0,5.8625,True,False,True
0,3,22.0,0,0,7.2292,1,7.2292,True,False,False
0,1,45.0,1,0,65.6563,0,32.82815,True,False,True
0,3,4.0,3,2,27.9,0,4.6499999999999995,True,False,True
0,1,28.0,0,0,27.7208,1,27.7208,True,False,False
1,3,28.0,1,1,15.2458,0,5.081933333333333,True,False,False
1,2,29.0,0,0,10.5,1,10.5,False,False,True
0,3,19.0,0,0,8.1583,1,8.1583,True,False,True
1,3,17.0,4,2,7.925,0,1.1321428571428571,False,False,True
0,3,26.0,2,0,8.6625,0,2.8874999999999997,True,False,True
0,2,32.0,0,0,10.5,1,10.5,True,False,True
0,3,16.0,5,2,46.9,0,5.8625,False,False,True
0,2,21.0,0,0,65.6563,1,65.6563,True,False,True
0,3,26.0,1,0,14.4542,0,7.2271,True,False,False
1,3,32.0,0,0,56.4958,1,56.4958,True,False,True
0,3,25.0,0,0,7.65,1,7.65,True,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,True
0,3,28.0,0,0,8.05,1,8.05,True,False,True
1,2,2.5,0,2,29.0,0,9.666666666666666,True,False,True
1,3,30.0,0,0,12.475,1,12.475,False,False,True
0,3,22.0,0,0,9.0,1,9.0,True,False,True
1,3,29.0,0,0,9.5,1,9.5,True,False,True
1,3,28.0,0,0,7.7875,1,7.7875,False,True,False
0,1,28.0,0,0,47.1,1,47.1,True,False,True
1,2,17.0,0,0,10.5,1,10.5,False,False,True
1,3,33.0,3,0,15.85,0,3.9625,False,False,True
0,3,16.0,1,3,34.375,0,6.875,True,False,True
0,3,28.0,0,0,8.05,1,8.05,True,False,True
1,1,23.0,3,2,65.6563,0,10.942716666666668,False,False,True
0,3,24.0,0,0,8.05,1,8.05,True,False,True
0,3,29.0,0,0,8.05,1,8.05,True,False,True
0,3,20.0,0,0,7.8542,1,7.8542,True,False,True
0,1,46.0,1,0,61.175,0,30.5875,True,False,True
0,3,26.0,1,2,20.575,0,5.14375,True,False,True
0,3,54.5,0,0,7.25,1,7.25,True,False,True
0,3,28.0,0,0,8.05,1,8.05,True,False,True
0,1,54.5,0,0,34.6542,1,34.6542,True,False,False
1,1,23.0,0,1,63.3583,0,31.67915,True,False,False
1,2,34.0,0,1,23.0,0,11.5,False,False,True
0,2,34.0,1,0,26.0,0,13.0,True,False,True
0,3,28.0,0,0,7.8958,1,7.8958,False,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,True
0,1,21.0,0,1,65.6563,0,32.82815,True,False,True
0,3,33.0,0,0,8.6542,1,8.6542,True,False,True
0,3,37.0,2,0,7.925,0,2.6416666666666666,True,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,True
1,3,21.0,0,0,7.65,1,7.65,False,False,True
1,3,28.0,0,0,7.775,1,7.775,True,False,True
0,3,38.0,0,0,7.8958,1,7.8958,True,False,True
1,3,28.0,1,0,24.15,0,12.075,False,True,False
0,1,47.0,0,0,52.0,1,52.0,True,False,True
0,3,14.5,1,0,14.4542,0,7.2271,False,False,False
0,3,22.0,0,0,8.05,1,8.05,True,False,True
0,3,20.0,1,0,9.825,0,4.9125,False,False,True
0,3,17.0,0,0,14.4583,1,14.4583,False,False,False
0,3,21.0,0,0,7.925,1,7.925,True,False,True
0,3,54.5,0,0,7.75,1,7.75,True,True,False
0,2,29.0,1,0,21.0,0,10.5,True,False,True
0,1,24.0,0,1,65.6563,0,32.82815,True,False,False
0,3,2.5,4,2,31.275,0,4.4678571428571425,False,False,True
0,2,21.0,2,0,65.6563,0,21.885433333333335,True,False,True
0,3,28.0,0,0,8.05,1,8.05,True,False,True
0,2,32.5,1,0,30.0708,0,15.0354,True,False,False
1,2,32.5,0,0,13.0,1,13.0,False,False,True
0,1,54.0,0,1,65.6563,0,32.82815,True,False,True
1,3,12.0,1,0,11.2417,0,5.62085,True,False,False
0,3,28.0,0,0,7.75,1,7.75,True,True,False
1,3,24.0,0,0,7.1417,1,7.1417,True,False,True
1,3,28.0,1,1,22.3583,0,7.452766666666666,False,False,False
0,3,45.0,0,0,6.975,1,6.975,True,False,True
0,3,33.0,0,0,7.8958,1,7.8958,True,False,False
0,3,20.0,0,0,7.05,1,7.05,True,False,True
0,3,47.0,1,0,14.5,0,7.25,False,False,True
1,2,29.0,1,0,26.0,0,13.0,False,False,True
0,2,25.0,0,0,13.0,1,13.0,True,False,True
0,2,23.0,0,0,15.0458,1,15.0458,True,False,False
1,1,19.0,0,2,26.2833,0,8.7611,False,False,True
0,1,37.0,1,0,53.1,0,26.55,True,False,True
0,3,16.0,0,0,9.2167,1,9.2167,True,False,True
0,1,24.0,0,0,65.6563,1,65.6563,True,False,False
0,3,28.0,0,2,15.2458,0,5.081933333333333,False,False,False
1,3,22.0,0,0,7.75,1,7.75,False,False,True
1,3,24.0,1,0,15.85,0,7.925,False,False,True
0,3,19.0,0,0,6.75,1,6.75,True,True,False
0,2,18.0,0,0,11.5,1,11.5,True,False,True
0,2,19.0,1,1,36.75,0,12.25,True,False,True
1,3,27.0,0,0,7.7958,1,7.7958,True,False,True
0,3,9.0,2,2,34.375,0,6.875,False,False,True
0,2,36.5,0,2,26.0,0,8.666666666666666,True,False,True
0,2,42.0,0,0,13.0,1,13.0,True,False,True
0,2,51.0,0,0,12.525,1,12.525,True,False,True
1,1,22.0,1,0,65.6563,0,32.82815,False,False,True
0,3,54.5,0,0,8.05,1,8.05,True,False,True
0,3,40.5,0,2,14.5,0,4.833333333333333,True,False,True
0,3,28.0,0,0,7.3125,1,7.3125,True,False,True
0,1,51.0,0,1,61.3792,0,30.6896,True,False,False
1,3,16.0,0,0,7.7333,1,7.7333,False,True,False
0,3,30.0,0,0,8.05,1,8.05,True,False,True
0,3,28.0,0,0,8.6625,1,8.6625,True,False,True
0,3,28.0,8,2,65.6563,0,5.968754545454545,True,False,True
0,3,44.0,0,1,16.1,0,8.05,True,False,True
1,2,40.0,0,0,15.75,1,15.75,False,False,True
0,3,26.0,0,0,7.775,1,7.775,True,False,True
0,3,17.0,0,0,8.6625,1,8.6625,True,False,True
0,3,2.5,4,1,39.6875,0,6.614583333333333,True,False,True
1,3,9.0,0,2,20.525,0,6.841666666666666,True,False,True
1,1,28.0,0,1,55.0,0,27.5,False,False,True
0,3,45.0,1,4,27.9,0,4.6499999999999995,False,False,True
0,1,28.0,0,0,25.925,1,25.925,True,False,True
0,3,28.0,0,0,56.4958,1,56.4958,True,False,True
0,1,54.5,0,0,33.5,1,33.5,True,False,True
0,3,4.0,4,1,29.125,0,4.854166666666667,True,True,False
1,3,2.5,1,1,11.1333,0,3.7111,False,False,True
0,3,21.0,0,0,7.925,1,7.925,True,False,True
0,1,54.5,0,0,30.6958,1,30.6958,True,False,False
0,3,18.0,1,1,7.8542,0,2.6180666666666665,True,False,True
0,3,28.0,3,1,25.4667,0,5.0933399999999995,True,False,True
0,1,50.0,0,0,28.7125,1,28.7125,False,False,False
0,2,30.0,0,0,13.0,1,13.0,True,False,True
0,3,36.0,0,0,0.0,1,0.0,True,False,True
0,3,28.0,8,2,65.6563,0,5.968754545454545,False,False,True
0,2,28.0,0,0,15.05,1,15.05,True,False,False
0,3,9.0,4,2,31.3875,0,4.483928571428572,True,False,True
1,2,2.5,2,1,39.0,0,9.75,True,False,True
1,3,4.0,0,2,22.025,0,7.341666666666666,False,False,True
0,1,28.0,0,0,50.0,1,50.0,True,False,True
1,3,28.0,1,0,15.5,0,7.75,False,True,False
1,1,45.0,0,0,26.55,1,26.55,True,False,True
0,3,40.0,1,1,15.5,0,5.166666666666667,True,True,False
0,3,36.0,0,0,7.8958,1,7.8958,True,False,True
1,2,32.0,0,0,13.0,1,13.0,False,False,True
0,2,19.0,0,0,13.0,1,13.0,True,False,True
1,3,19.0,1,0,7.8542,0,3.9271,False,False,True
1,2,3.0,1,1,26.0,0,8.666666666666666,True,False,True
1,1,44.0,0,0,27.7208,1,27.7208,False,False,False
1,1,54.5,0,0,65.6563,1,65.6563,False,False,False
0,3,28.0,0,0,7.75,1,7.75,True,True,False
0,3,42.0,0,1,8.4042,0,4.2021,True,False,True
1,3,28.0,0,0,7.75,1,7.75,False,True,False
0,2,24.0,0,0,13.0,1,13.0,False,False,True
0,3,28.0,0,0,9.5,1,9.5,True,False,True
0,3,28.0,8,2,65.6563,0,5.968754545454545,True,False,True
0,3,34.0,0,0,6.4958,1,6.4958,True,False,True
0,3,45.5,0,0,7.225,1,7.225,True,False,False
1,3,18.0,0,0,8.05,1,8.05,True,False,True
0,3,2.5,0,1,10.4625,0,5.23125,False,False,True
0,3,32.0,1,0,15.85,0,7.925,True,False,True
1,3,26.0,0,0,18.7875,1,18.7875,True,False,False
1,3,16.0,0,0,7.75,1,7.75,False,True,False
1,1,40.0,0,0,31.0,1,31.0,True,False,False
0,3,24.0,0,0,7.05,1,7.05,True,False,True
1,2,35.0,0,0,21.0,1,21.0,False,False,True
0,3,22.0,0,0,7.25,1,7.25,True,False,True
0,2,30.0,0,0,13.0,1,13.0,True,False,True
0,3,28.0,1,0,7.75,0,3.875,True,True,False
1,1,31.0,1,0,65.6563,0,32.82815,False,False,False
1,3,27.0,0,0,7.925,1,7.925,False,False,True
0,2,42.0,1,0,27.0,0,13.5,True,False,True
1,1,32.0,0,0,65.6563,1,65.6563,False,False,False
0,2,30.0,0,0,10.5,1,10.5,True,False,True
1,3,16.0,0,0,8.05,1,8.05,True,False,True
0,2,27.0,0,0,13.0,1,13.0,True,False,True
0,3,51.0,0,0,8.05,1,8.05,True,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,True
1,1,38.0,1,0,65.6563,0,32.82815,True,False,True
0,3,22.0,0,0,9.35,1,9.35,True,False,True
1,2,19.0,0,0,10.5,1,10.5,True,False,True
0,3,20.5,0,0,7.25,1,7.25,True,False,True
0,2,18.0,0,0,13.0,1,13.0,True,False,True
0,3,28.0,3,1,25.4667,0,5.0933399999999995,False,False,True
1,1,35.0,1,0,65.6563,0,32.82815,False,False,True
0,3,29.0,0,0,7.775,1,7.775,True,False,True
0,2,54.5,0,0,13.5,1,13.5,True,False,True
1,3,5.0,4,2,31.3875,0,4.483928571428572,False,False,True
0,2,24.0,0,0,10.5,1,10.5,True,False,True
0,3,28.0,0,0,7.55,1,7.55,False,False,True
0,2,44.0,1,0,26.0,0,13.0,True,False,True
1,2,8.0,0,2,26.25,0,8.75,False,False,True
0,2,19.0,0,0,10.5,1,10.5,True,False,True
0,2,33.0,0,0,12.275,1,12.275,True,False,True
0,3,28.0,1,0,14.4542,0,7.2271,False,False,False
1,3,28.0,1,0,15.5,0,7.75,False,True,False
0,2,29.0,0,0,10.5,1,10.5,True,False,True
0,3,22.0,0,0,7.125,1,7.125,True,False,True
0,3,30.0,0,0,7.225,1,7.225,True,False,False
0,1,44.0,2,0,65.6563,0,21.885433333333335,True,True,False
0,3,25.0,0,0,7.775,1,7.775,False,False,True
1,2,24.0,0,2,14.5,0,4.833333333333333,False,False,True
1,1,37.0,1,1,52.5542,0,17.518066666666666,True,False,True
0,2,54.0,1,0,26.0,0,13.0,True,False,True
0,3,28.0,0,0,7.25,1,7.25,True,False,True
0,3,29.0,1,1,10.4625,0,3.4875000000000003,False,False,True
0,1,54.5,0,0,26.55,1,26.55,True,False,True
0,3,30.0,1,0,16.1,0,8.05,True,False,True
0,3,41.0,0,2,20.2125,0,6.7375,False,False,True
1,3,29.0,0,2,15.2458,0,5.081933333333333,False,False,False
1,1,28.0,0,0,65.6563,1,65.6563,False,False,False
1,1,30.0,0,0,65.6563,1,65.6563,False,False,True
1,1,35.0,0,0,65.6563,1,65.6563,False,False,False
1,2,50.0,0,1,26.0,0,13.0,False,False,True
0,3,28.0,0,0,7.75,1,7.75,True,True,False
1,3,3.0,4,2,31.3875,0,4.483928571428572,True,False,True
0,1,52.0,1,1,65.6563,0,21.885433333333335,True,False,True
0,1,40.0,0,0,0.0,1,0.0,True,False,True
0,3,28.0,0,0,7.75,1,7.75,False,True,False
0,2,36.0,0,0,10.5,1,10.5,True,False,True
0,3,16.0,4,1,39.6875,0,6.614583333333333,True,False,True
1,3,25.0,1,0,7.775,0,3.8875,True,False,True
1,1,54.5,0,1,65.6563,0,32.82815,False,False,True
1,1,35.0,0,0,65.6563,1,65.6563,False,False,True
0,1,28.0,0,0,31.0,1,31.0,True,False,True
1,3,25.0,0,0,0.0,1,0.0,True,False,True
1,2,41.0,0,1,19.5,0,9.75,False,False,True
0,1,37.0,0,1,29.7,0,14.85,True,False,False
1,3,28.0,0,0,7.75,1,7.75,False,True,False
1,1,54.5,1,0,65.6563,0,32.82815,False,False,True
0,3,45.0,0,0,7.75,1,7.75,False,False,True
0,2,28.0,0,0,0.0,1,0.0,True,False,True
0,3,7.0,4,1,29.125,0,4.854166666666667,True,True,False
1,3,35.0,1,1,20.25,0,6.75,False,False,True
0,3,54.5,0,0,7.75,1,7.75,True,True,False
0,3,28.0,0,0,7.8542,1,7.8542,True,False,True
0,3,16.0,0,0,9.5,1,9.5,True,False,True
1,3,19.0,0,0,8.05,1,8.05,True,False,True
0,1,28.0,0,0,26.0,1,26.0,True,False,True
0,3,33.0,0,0,8.6625,1,8.6625,True,False,False
1,3,30.0,0,0,9.5,1,9.5,True,False,True
0,3,22.0,0,0,7.8958,1,7.8958,True,False,True
1,2,42.0,0,0,13.0,1,13.0,True,False,True
1,3,22.0,0,0,7.75,1,7.75,False,True,False
1,1,26.0,0,0,65.6563,1,65.6563,False,False,True
1,1,19.0,1,0,65.6563,0,32.82815,False,False,False
0,2,36.0,0,0,12.875,1,12.875,True,False,False
0,3,24.0,0,0,8.85,1,8.85,False,False,True
0,3,24.0,0,0,7.8958,1,7.8958,True,False,True
0,1,28.0,0,0,27.7208,1,27.7208,True,False,False
0,3,23.5,0,0,7.2292,1,7.2292,True,False,False
0,1,2.5,1,2,65.6563,0,16.414075,False,False,True
1,1,28.0,0,0,30.5,1,30.5,True,False,True
1,1,50.0,0,1,65.6563,0,32.82815,False,False,False
1,3,28.0,0,0,7.75,1,7.75,False,True,False
1,3,28.0,2,0,23.25,0,7.75,True,True,False
0,3,19.0,0,0,0.0,1,0.0,True,False,True
1,2,28.0,0,0,12.35,1,12.35,False,True,False
0,3,28.0,0,0,8.05,1,8.05,True,False,True
1,1,2.5,1,2,65.6563,0,16.414075,True,False,True
1,1,28.0,0,0,65.6563,1,65.6563,False,False,False
1,1,17.0,1,0,65.6563,0,32.82815,False,False,False
0,2,30.0,1,0,24.0,0,12.0,True,False,False
1,1,30.0,0,0,56.9292,1,56.9292,False,False,False
1,1,24.0,0,0,65.6563,1,65.6563,False,False,False
1,1,18.0,2,2,65.6563,0,13.131260000000001,False,False,False
0,2,26.0,1,1,26.0,0,8.666666666666666,False,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,True
0,2,43.0,1,1,26.25,0,8.75,True,False,True
1,3,26.0,0,0,7.8542,1,7.8542,False,False,True
1,2,24.0,1,0,26.0,0,13.0,False,False,True
0,2,54.0,0,0,14.0,1,14.0,True,False,True
1,1,31.0,0,2,65.6563,0,21.885433333333335,False,False,True
1,1,40.0,1,1,65.6563,0,21.885433333333335,False,False,False
0,3,22.0,0,0,7.25,1,7.25,True,False,True
0,3,27.0,0,0,7.8958,1,7.8958,True,False,True
1,2,30.0,0,0,12.35,1,12.35,False,True,False
1,2,22.0,1,1,29.0,0,9.666666666666666,False,False,True
0,3,28.0,8,2,65.6563,0,5.968754545454545,True,False,True
1,1,36.0,0,0,65.6563,1,65.6563,False,False,False
0,3,54.5,0,0,6.2375,1,6.2375,True,False,True
1,2,36.0,0,0,13.0,1,13.0,False,False,True
1,3,31.0,1,1,20.525,0,6.841666666666666,False,False,True
1,1,16.0,0,1,57.9792,0,28.9896,False,False,False
1,3,28.0,2,0,23.25,0,7.75,False,True,False
0,1,45.5,0,0,28.5,1,28.5,True,False,True
0,1,38.0,0,1,65.6563,0,32.82815,True,False,True
0,3,16.0,2,0,18.0,0,6.0,True,False,True
1,1,28.0,1,0,65.6563,0,32.82815,False,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,True
0,1,29.0,1,0,65.6563,0,32.82815,True,False,True
1,1,41.0,0,0,65.6563,1,65.6563,False,False,False
1,3,45.0,0,0,8.05,1,8.05,True,False,True
0,1,45.0,0,0,35.5,1,35.5,True,False,True
1,2,2.5,1,1,26.0,0,8.666666666666666,True,False,True
1,1,24.0,3,2,65.6563,0,10.942716666666668,False,False,True
0,2,28.0,0,0,13.0,1,13.0,True,False,True
0,2,25.0,0,0,13.0,1,13.0,True,False,True
0,2,36.0,0,0,13.0,1,13.0,True,False,True
1,2,24.0,0,0,13.0,1,13.0,False,False,True
1,2,40.0,0,0,13.0,1,13.0,False,False,True
1,3,28.0,1,0,16.1,0,8.05,False,False,True
1,3,3.0,1,1,15.9,0,5.3,True,False,True
0,3,42.0,0,0,8.6625,1,8.6625,True,False,True
0,3,23.0,0,0,9.225,1,9.225,True,False,True
0,1,28.0,0,0,35.0,1,35.0,True,False,True
0,3,15.0,1,1,7.2292,0,2.409733333333333,True,False,False
0,3,25.0,1,0,17.8,0,8.9,True,False,True
0,3,28.0,0,0,7.225,1,7.225,True,False,False
0,3,28.0,0,0,9.5,1,9.5,True,False,True
1,1,22.0,0,1,55.0,0,27.5,False,False,True
0,2,38.0,0,0,13.0,1,13.0,False,False,True
1,3,28.0,0,0,7.8792,1,7.8792,False,True,False
1,3,28.0,0,0,7.8792,1,7.8792,False,True,False
0,3,40.0,1,4,27.9,0,4.6499999999999995,True,False,True
0,2,29.0,1,0,27.7208,0,13.8604,True,False,False
0,3,45.0,0,1,14.4542,0,7.2271,False,False,False
0,3,35.0,0,0,7.05,1,7.05,True,False,True
0,3,28.0,1,0,15.5,0,7.75,True,True,False
0,3,30.0,0,0,7.25,1,7.25,True,False,True
1,1,54.5,1,0,65.6563,0,32.82815,False,False,False
1,3,28.0,0,0,7.2292,1,7.2292,False,False,False
1,3,28.0,0,0,7.75,1,7.75,False,True,False
1,1,24.0,0,0,65.6563,1,65.6563,False,False,False
1,1,25.0,1,0,55.4417,0,27.72085,True,False,False
0,3,18.0,1,0,6.4958,0,3.2479,True,False,True
0,3,19.0,0,0,8.05,1,8.05,True,False,True
0,1,22.0,0,0,65.6563,1,65.6563,True,False,False
0,3,3.0,3,1,21.075,0,4.215,False,False,True
1,1,28.0,1,0,65.6563,0,32.82815,False,False,False
1,3,22.0,0,0,7.25,1,7.25,False,False,True
0,1,27.0,0,2,65.6563,0,21.885433333333335,True,False,False
0,3,20.0,0,0,4.0125,1,4.0125,True,False,False
0,3,19.0,0,0,7.775,1,7.775,True,False,True
1,1,42.0,0,0,65.6563,1,65.6563,False,False,False
1,3,2.5,0,2,15.7417,0,5.247233333333333,False,False,False
0,3,32.0,0,0,7.925,1,7.925,True,False,True
1,1,35.0,1,0,52.0,0,26.0,False,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,True
0,2,18.0,0,0,65.6563,1,65.6563,True,False,True
0,3,2.5,5,2,46.9,0,5.8625,True,False,True
1,2,36.0,0,0,13.0,1,13.0,False,False,True
0,3,28.0,0,0,7.7292,1,7.7292,True,True,False
1,2,17.0,0,0,12.0,1,12.0,False,False,False
1,1,36.0,1,2,65.6563,0,16.414075,True,False,True
1,3,21.0,0,0,7.7958,1,7.7958,True,False,True
0,3,28.0,2,0,7.925,0,2.6416666666666666,True,False,True
1,1,23.0,1,0,65.6563,0,32.82815,False,False,False
1,3,24.0,0,2,16.7,0,5.566666666666666,False,False,True
0,3,22.0,0,0,7.7958,1,7.7958,True,False,True
0,3,31.0,0,0,7.8542,1,7.8542,False,False,True
0,2,46.0,0,0,26.0,1,26.0,True,False,True
0,2,23.0,0,0,10.5,1,10.5,True,False,True
1,2,28.0,0,0,12.65,1,12.65,False,False,True
1,3,39.0,0,0,7.925,1,7.925,True,False,True
0,3,26.0,0,0,8.05,1,8.05,True,False,True
0,3,21.0,1,0,9.825,0,4.9125,False,False,True
0,3,28.0,1,0,15.85,0,7.925,True,False,True
0,3,20.0,0,0,8.6625,1,8.6625,False,False,True
0,2,34.0,1,0,21.0,0,10.5,True,False,True
0,3,51.0,0,0,7.75,1,7.75,True,False,True
1,2,3.0,1,1,18.75,0,6.25,True,False,True
0,3,21.0,0,0,7.775,1,7.775,True,False,True
0,3,28.0,3,1,25.4667,0,5.0933399999999995,False,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,True
0,3,28.0,0,0,6.8583,1,6.8583,True,True,False
1,1,33.0,1,0,65.6563,0,32.82815,False,True,False
0,2,28.0,0,0,0.0,1,0.0,True,False,True
1,3,44.0,0,0,7.925,1,7.925,True,False,True
0,3,28.0,0,0,8.05,1,8.05,False,False,True
1,2,34.0,1,1,32.5,0,10.833333333333334,False,False,True
1,2,18.0,0,2,13.0,0,4.333333333333333,False,False,True
0,2,30.0,0,0,13.0,1,13.0,True,False,True
0,3,10.0,0,2,24.15,0,8.049999999999999,False,False,True
0,3,28.0,0,0,7.8958,1,7.8958,True,False,False
0,3,21.0,0,0,7.7333,1,7.7333,True,True,False
0,3,29.0,0,0,7.875,1,7.875,True,False,True
0,3,28.0,1,1,14.4,0,4.8,False,False,True
0,3,18.0,1,1,20.2125,0,6.7375,True,False,True
0,3,28.0,0,0,7.25,1,7.25,True,False,True
1,2,28.0,1,0,26.0,0,13.0,False,False,True
1,2,19.0,0,0,26.0,1,26.0,False,False,True
0,3,28.0,0,0,7.75,1,7.75,True,True,False
1,3,32.0,0,0,8.05,1,8.05,True,False,True
1,1,28.0,0,0,26.55,1,26.55,True,False,True
1,3,28.0,1,0,16.1,0,8.05,False,False,True
1,2,42.0,1,0,26.0,0,13.0,False,False,True
0,3,17.0,0,0,7.125,1,7.125,True,False,True
0,1,50.0,1,0,55.9,0,27.95,True,False,True
1,1,14.0,1,2,65.6563,0,16.414075,False,False,True
0,3,21.0,2,2,34.375,0,6.875,False,False,True
1,2,24.0,2,3,18.75,0,3.125,False,False,True
0,1,54.5,1,4,65.6563,0,10.942716666666668,True,False,True
0,2,31.0,0,0,10.5,1,10.5,True,False,True
1,2,45.0,1,1,26.25,0,8.75,False,False,True
0,3,20.0,0,0,9.5,1,9.5,True,False,True
0,3,25.0,1,0,7.775,0,3.8875,True,False,True
